Conditionnement;Trafic;Sens;Port;Opérateur;Unité;Sous_Catégorie;Mois;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;771;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;443;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;462;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;535;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;463;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;702;;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;554;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;492;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;435;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;759;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;403;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;782;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;647;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;519;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;563;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;687;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;674;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;1100;;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;790;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;613;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;480;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;892;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;539;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;843;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;351;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;495;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;;752;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;;647;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;;1081;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;;783;;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;;660;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;;801;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;;723;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;;555;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;;784;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;;590;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;;644;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;;1028;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;;;608;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;;;670;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;;;974;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;;;1084;;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;;;581;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;;;942;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;;;670;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;;;684;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;;;700;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;;;798;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;;;672;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;;;1023;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;;;;676;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;;;;933;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;;;;995;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;;;;1336;;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;;;;911;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;;;;578;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;;;;700;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;;;;480;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;;;;756;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;;;;683;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;;;;619;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;;;;844;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;septembre;;;;;;;;;;;;;;833;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;octobre;;;;;;;;;;;;;;1023;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;novembre;;;;;;;;;;;;;;756;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;décembre;;;;;;;;;;;;;;951;;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;janvier;;;;;;;;;;;;;;;805;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;février;;;;;;;;;;;;;;;565;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mars;;;;;;;;;;;;;;;661;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;avril;;;;;;;;;;;;;;;496;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;mai;;;;;;;;;;;;;;;601;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juin;;;;;;;;;;;;;;;534;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;juillet;;;;;;;;;;;;;;;615;;
Conteneurs;20' Plein;Export;Agadir;Marsa Maroc;Nombre;Conteneurs;août;;;;;;;;;;;;;;;585;;
